Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2014-09-29T05:35:31.176 ,2,0.0043901830961251866,0.9281554269420393,FoVP,-0.6901601532774753,0.7183046976158173,2456929.73506745
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2014-11-03T21:05:58.804 ,6,-0.004385093368786145,-1.215263939144385,FoVF,0.7092979617667697,0.7086578466432628,2456965.380117147
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2014-11-03T22:52:33.006 ,4,9.265497321821768E-4,-1.2165326644565346,FoVP,0.7093065696445062,0.7086110696599519,2456965.454121687
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2014-12-03T14:47:59.606 ,3,0.0011305999432505492,-0.15872746441573823,FoVF,-0.6838714134438115,0.7048120844418945,2456995.1166995754
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2014-12-03T16:34:33.804 ,7,-0.0037864207230918095,-0.16125655397137761,FoVP,-0.682937593730249,0.7056186956197498,2456995.190704417
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-01-02T20:32:07.624 ,5,-0.0019813299751258798,-2.2087329654254977,FoVF,0.6443549403268711,0.7001073405180227,2457025.355007342
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-01-02T22:18:41.837 ,3,0.0025209074648167864,-2.211989807134022,FoVP,0.6456463228783819,0.6988319972087098,2457025.4290132914
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-02-07T15:54:41.376 ,4,0.0011052276825699052,-1.4055203998142594,FoVP,-0.6244834242710796,0.7045740421540276,2457061.1621396774
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-03-09T07:57:57.612 ,1,0.004293982281162522,2.8557081380224947,FoVF,0.6616722003841509,0.70412909222266,2457090.8314466793
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-04-11T03:23:52.114 ,5,1.2946383912121293E-4,-2.4529991426849254,FoVP,-0.7063346328424646,0.7116127412358996,2457123.6419490026
